"cues","BOI","Concrete","SUBTLEX","AoA","n"
"mirror",6.086956522,4.97,3.0913,4.89,20
"mistletoe",4.592592593,4.85,1.9956,9.65,22
"mistress",5,4.22,2.7832,11.72,18
"mitt",6.08,4.76,1.8513,6.83,15
"mitten",6.041666667,4.89,1.3802,4.72,16
"mixer",5,4.33,1.7482,7.05,20
"moccasin",5.458333333,4.78,0.4771,11.22,13
"model",5.086956522,4.53,3.2138,5.83,14
"molasses",5,4.84,1.7243,8.95,18
"mommy",5.434782609,4.07,3.5585,2.5,13
"money",6.291666667,4.54,4.5143,5.11,15
"moneybags",5,3.85,1.1461,9.32,22
"mongoose",4.5,4.89,1.5315,9.94,19
"monk",5.173913043,4.35,2.5763,10.29,21
"monument",4.52,4.58,2.0719,8.45,12
"moonshine",5.260869565,4.46,1.699,9.22,16
"mop",6.192307692,4.97,2.3263,5.11,20
"morphine",5.32,4.5,2.5211,13.22,11
"morsel",4.833333333,4.19,1.5185,8.78,16
"mortician",4.833333333,4.3,1.5051,10.2,15
"mosquito",4.4,4.88,1.9731,6.1,14
"moss",4.565217391,4.9,2.1644,8.31,14
"motel",4.48,4.93,2.9675,7.11,23
"moth",4.84,4.69,2.0682,5.74,14
"mothball",5.12,4.62,0.7782,8.32,19
"mother",5.52,4.6,4.3888,2.63,17
"motor",4.92,4.84,2.8274,7.42,13
"motorbike",6.347826087,4.79,1.5911,7.95,14
"motorboat",5.304347826,4.93,1.4771,6.53,24
"motorcycle",5.555555556,4.97,2.659,5.05,18
"motorcyclist",4.52,4.79,1.1461,7.17,14
"motorist",5.12,4.72,1.415,7.74,18
"mountain",4.307692308,4.96,3.2567,6.15,18
"mountainside",4.708333333,4.48,1.1761,7.53,15
"mouse",5.24,4.83,2.9894,4.94,19
"mousetrap",4.916666667,5,1.4914,6.78,14
"mousse",5.260869565,4.83,1.7782,10.32,19
"moustache",5.347826087,4.96,2.2878,5.4,14
"mouth",6.304347826,4.74,3.7264,3.58,16
"mouthpiece",5.304347826,4.66,1.6812,10.6,13
"mouthwash",6.230769231,4.67,1.699,7.32,19
"mucous",5.04,4.17,1.3222,10.35,21
"mucus",4.88,4.76,1.4914,9.56,11
"mud",5.56,4.86,2.8791,4.05,19
"muffin",5.875,4.78,2.4742,5.11,18
"muffler",4.75,4.68,1.716,9.5,14
"mug",6.13900135,4.8,2.5441,5.15,16
"mulberry",4.703703704,4.48,1.5051,8.88,14
"mulch",4.625,4.59,1.3617,9.22,22
"mule",4.318181818,5,2.5551,5.65,13
"mullet",4.518518519,4.78,1.4771,11.67,12
"mullets",4.304347826,4.72,0.4771,NA,19
"mum",4.416666667,4.11,3.0449,7.47,19
"munitions",4.80952381,3.82,1.8129,NA,11
"muscle",5.12,4.5,2.842,8.45,22
"museum",4.333333333,4.6,2.9745,8.55,16
"mushroom",5.333333333,4.83,2.0414,6.44,15
"musician",4.47826087,4.42,2.49,7.11,18
"musket",5.217391304,4.67,1.7076,10.17,11
"mustache",5.620689655,4.9,2.4031,NA,14
"mustard",5.8,4.93,2.5185,4.95,20
"mutt",4.958333333,3.89,2.3075,7.22,20
"mutton",5,4.25,1.6128,13.15,13
"muzzle",4.391304348,4.59,1.9138,8.44,18
"myself",5.038461538,2.97,4.2423,3.81,17
"nail",5.541666667,4.93,2.9786,5.42,18
"nameplate",4.84,4.52,0.9031,9.89,17
"nanny",4.6,4.21,2.7259,6.67,16
"napkin",6.333333333,4.93,2.2672,4.79,11
"narcotics",4.956521739,4.59,2.42,12.39,21
"navel",5,4.71,1.8062,9.6,10
"neck",6.12,5,3.4823,3,21
"neckband",5.217391304,4.77,0.301,9.78,17
"neckerchief",5.347826087,4.5,0.4771,9.65,12
"necklace",5.821428571,4.96,2.6972,5,19
"necktie",6.043478261,4.96,1.7924,6.63,19
"neckwear",5.652173913,4.56,0.4771,11.58,17
"nectar",4.608695652,4.63,1.6812,8.95,20
"needle",5.739130435,4.93,2.7846,5.32,17
"needlepoint",4.576923077,4.48,1.4624,9,17
"needles",5.416666667,4.96,2.4216,NA,19
"needlework",4.692307692,4.41,1.1761,9.88,16
"negligee",4.75,4.48,1.5798,15.92,13
"nephew",5.16,4.48,2.9279,6.37,17
"net",5.208333333,4.53,2.8998,7,17
"nettle",4.529411765,3.88,0.9542,14.33,12
"neurologist",4.384615385,4.1,1.716,14.22,21
"newlyweds",4.772727273,3.79,1.8751,NA,16
"newsagent",4.333333333,4.41,0.301,11.11,20
"newsboy",4.869565217,4.42,1.1761,7.53,11
"newscaster",4.347826087,4.5,1.4771,9.56,13
"newsletter",5.826086957,4.66,1.6435,9.42,18
"newsman",4.285714286,4.26,1.3222,5.72,18
"newspaper",5.76,4.82,3.0824,5.78,19
"newspaperman",4.48,4.5,1.8692,7.5,18
"newsprint",4.260869565,4.62,0.9542,10,14
"newsreader",4.826086957,3.93,1.2553,10.76,15
"newsstand",5.458333333,4.71,1.7324,9.74,16
"newt",4.391304348,4.17,1.8388,7.56,14
"nickel",5.814814815,4.79,2.6355,5.75,20
"nightcaps",4.708333333,4.07,0.301,NA,15
"nightclub",4.409090909,4.96,2.3766,10.74,15
"nightdress",5.791666667,4.62,0.699,9.12,16
"nightgown",5.92,4.9,2.0043,5.78,15
"nightie",5.62962963,4.3,1.5563,7.82,13
"nightlight",4.821428571,4.93,0.699,5.21,13
"nightshirt",6.291666667,5,1.0792,6.1,18
"nightstick",5.434782609,4.74,1.3424,9.82,11
"nipple",5.625,4.83,2.1614,9.05,13
"noodle",6.24,4.71,2.1732,3.44,17
"noodles",5.695652174,4.96,2.4914,5.3,15
"noose",4.708333333,4.52,2.0492,8.28,13
"nose",6,4.89,3.5512,2.95,17
"nostril",5.208333333,4.89,1.5563,7.37,27
"note",5.434782609,4.61,3.4365,6.4,21
"notepaper",5.392857143,4.78,0.4771,6.39,16
"novel",5.4,4.21,2.711,9.5,17
"nugget",4.826086957,4.45,1.7853,7.32,14
"nun",4.666666667,4.92,2.5514,8.39,19
"nurse",5.130434783,4.39,3.3608,5.84,22
"nursemaid",4.583333333,4.5,1.4624,9.75,14
"nursery",4.875,4.48,2.3181,6.95,15
"nut",5.555555556,4.52,2.902,5.21,19
"nutcracker",5.36,4.81,1.5682,7.24,20
"nutcrackers",5.347826087,4.77,0.699,NA,16
"nutmeg",4.608695652,4.69,1.5682,8.83,14
"nutshell",4.375,4.29,1.6902,6.67,15
"nylon",4.928571429,4.7,1.8451,10,14
"oar",5.307692308,4.84,1.6335,5.83,17
"oat",4.8,5,1.4472,5.83,21
"object",6.416666667,3.66,3.1189,7.94,15
"obstetrician",5.04,4.31,1.1461,12.56,15
"ocean",5.217391304,4.86,3.1892,4.74,18
"oceanographer",4.44,3.97,0.699,12.74,15
"offspring",4.913043478,3.93,2.1173,11.65,20
"oilcan",4.782608696,4.62,0.8451,7.59,18
"oilcloth",5.125,4.4,0.301,12.53,14
"ointment",5.869565217,4.5,1.9243,7.9,18
"okra",5.269230769,4.78,1.4314,12.61,17
"olive",6.173913043,4.9,2.5752,6.68,18
"omelet",5.6,4.93,2.0864,6.5,20
"omelette",6.291666667,4.74,1.7924,NA,17
"onion",5.476190476,4.86,2.3365,6.05,21
"opal",4.6,4.42,1.7243,9.28,13
"ophthalmologist",4.423076923,4.32,1.1761,11.35,16
"opium",4.269230769,4.56,2.0607,12.41,17
"optician",4.851851852,4.68,0.699,11.24,12
"orange",5.08,4.66,3.0565,3.26,19
"orangutan",4.666666667,4.81,1.4771,7.83,15
"orchard",4.333333333,4.75,1.9956,7.67,19
"orchid",4.68,4.92,2.0453,9.76,14
"ore",4.375,4.48,1.9294,11.12,13
"oregano",5.64,4.81,1.6335,10.88,15
"organ",5.185185185,4.77,2.5694,8.72,15
"organism",4.727272727,4.16,2.0212,10.61,16
"orgy",4.782608696,3.67,1.9445,13.95,12
"ornament",6.181818182,4.04,1.7709,6.1,17
"orphan",5.259259259,4.04,2.4683,6.94,14
"orthodontist",4.916666667,4.43,1.415,10.26,17
"ottoman",5.833333333,4.9,1.2304,10.94,16
"outfielder",4.6,4.67,0.7782,8.1,17
"outfit",6.130434783,4.12,3.1075,7,17
"outhouse",4.64,4.89,1.5911,7.9,18
"outlet",4.541666667,4.31,2.0128,8.32,16
"oven",5.923076923,4.97,2.6571,5.67,17
"overcoat",6.52,4.5,1.8751,8.95,20
"oxtail",4.444444444,4.5,0.301,12.29,12
"oyster",5.407407407,4.85,2.1959,8,18
"pacemaker",4.363636364,4.68,1.5911,12.42,20
"pacifier",6.090909091,4.61,1.3222,4.56,20
"package",5.75,4.72,3.0656,6.61,12
"packaging",5.038461538,4.44,1.6435,8.89,14
"packet",4.52173913,4.46,2.1106,8.94,14
"pad",5.217391304,4.43,2.6191,8.83,22
"padding",4.925925926,4.52,1.699,8.45,11
"paddle",5.68,4.8,2.2833,6.58,15
"padlock",6.08,4.92,1.5563,8.84,14
"page",4.96,4.9,3.2817,5.16,18
"pail",4.772727273,4.93,1.6902,6.16,16
"painkiller",5.518518519,4.18,1.4472,11.59,18
"paint",5.090909091,4.79,3.2737,4.45,20
"paintbox",4.44,4.65,0.7782,6.35,16
"paintbrush",5.56,4.79,1.4472,6.22,16
"pajama",5.962962963,4.85,1.8195,4.27,16
"pajamas",6.222222222,4.73,2.4742,3.48,17
"pal",4.333333333,3.93,3.4681,5.74,22
"pallet",4.36,4.59,1.3424,12,13
"palm",5.44,4.83,2.8299,6,17
"pamphlet",5.565217391,4.61,1.7853,9.5,18
"pan",6.409090909,4.86,2.798,4.72,20
"panhandler",4.92,4,1.1761,13.12,11
"pantaloons",4.695652174,4.79,1.0792,NA,19
"panties",5.791666667,4.9,2.618,5.75,17
"pantry",5.260869565,4.67,1.9542,8.17,20
"pants",6.333333333,4.86,3.4767,3.23,14
"paper",5.695652174,4.93,3.722,4,20
"paperback",5.090909091,4.57,1.3802,7.94,21
"paperhanger",4.625,4.04,0.9542,10.71,14
"paperweight",5.291666667,4.78,1.3424,6.72,18
"paperwork",5.625,4.63,2.7259,7.53,3
"paprika",4.428571429,5,1.6232,9.63,23
"parachute",4.68,4.78,2.2122,7,13
"parachutist",4.6,4.3,0.9542,11.11,15
"parakeet",5.12,4.9,1.7482,6.53,17
"paraphernalia",4.5,3.67,1.5051,13.27,14
"paratrooper",4.291666667,4.89,1.2304,13.41,19
"parcel",5.583333333,4.81,1.8573,10.67,12
"parchment",4.681818182,4.48,1.6021,10.5,13
"parent",5.04,4.56,2.8267,4.22,14
"parka",5.875,4.65,1.5051,10.32,19
"parsley",5.434782609,4.77,1.6435,8.95,20
"parsnip",5.666666667,4.85,0.699,10.75,17
"partner",5.230769231,3.53,3.584,5.85,23
"passenger",5.08,4.34,2.7404,6.65,15
"passerby",4.44,4.04,0.9542,9.84,8
"passionflower",4.782608696,4.72,0.301,NA,15
"passport",5,5,2.7284,12.16,16
"pasta",5.72,4.86,2.3365,5.78,18
"pastrami",5.142857143,4.74,1.699,8.42,14
"pastry",6.086956522,4.97,1.9956,7.21,18
"path",4.37037037,4.41,3.098,6.11,16
"patrolman",4.814814815,4.67,1.7993,9.5,22
"paw",5,4.3,2.2041,5.89,11
"pea",5.777777778,4.9,2.301,3.95,15
"peach",5.88,4.9,2.5119,4.21,18
"peacock",4.8,5,2.4183,5.76,16
"peanut",6.192307692,4.89,2.8,5,24
"peanuts",6.12,4.9,2.5866,4.72,18
"pear",5.72,4.93,1.8388,4,17
"pearl",5.555555556,4.87,2.9031,6.28,15
"peashooter",4.84,4.28,0.6021,9.79,14
"pebble",5.47826087,4.86,1.8195,5.68,14
"pecan",5.5,4.87,1.6902,6.8,13
"pedal",5.04,4.44,2.0212,6.5,21
"pedestal",4.88,4.48,1.8325,10.8,19
"pedestrian",4.962962963,4.41,1.8573,9.75,14
"pedicurist",5.137931034,4.04,0.4771,14.76,12
"pedometer",5.681818182,4.93,0.301,14.06,12
"peel",4.458333333,4.61,2.4378,6.05,17
"peelings",4.652173913,4.27,0.7782,6.44,19
"peephole",4.875,4.74,1.3979,9.35,12
"peg",4.391304348,4.93,3.269,6.83,14
"pegboard",5.04,4.93,0.301,8.32,18
"pellet",4.296296296,4.56,1.8325,10.18,13
"pelvis",5.72,4.93,2.017,9.95,14
"pen",6.64,4.92,3.1011,5.11,16
"pencil",5.869565217,4.88,2.7024,4.06,20
"pendant",5.791666667,4.75,1.6721,10.3,20
"penknife",5.833333333,4.83,0.9542,11.61,10
"pennant",5.153846154,4.37,1.5911,11.47,15
"penny",6.448275862,4.83,3.0934,4.67,19
"penthouse",4.333333333,4.36,2.3655,13.11,13
"peony",4.333333333,4.48,0.4771,12.27,10
"people",6.076923077,4.82,4.7501,3.52,25
"pepper",5.875,4.59,2.6532,5.47,17
"peppercorn",5.181818182,4.89,0.8451,11.42,18
"peppermint",5.391304348,4.43,1.8573,5.7,15
"pepperoni",5.875,5,2.1206,6.21,16
"percolator",5.1,4.39,0.699,10.19,9
"perfume",4.96,4.66,2.7664,7.06,19
"periscope",4.653846154,4.78,1.8513,10.16,11
"peroxide",4.555555556,4.93,1.7482,9.84,17
"persimmon",4.611111111,4.74,0.699,15.29,13
"person",6.12,4.72,4.0357,4.67,24
"perspiration",4.826086957,4.81,1.4472,10.32,16
"pet",6.214285714,4.71,3.0128,4.05,20
"petal",5.75,4.57,1.6628,6.33,15
"petroleum",4.333333333,4.69,1.8129,11.11,14
"petticoat",5.454545455,4.68,1.6128,11,13
"pew",4.666666667,3.92,1.7324,8.56,11
"phalanges",4.35,4.61,1.2553,NA,17
"pharmacist",5.041666667,4.03,1.8976,8.79,21
"pharmacy",5.083333333,4.78,2.2455,8.79,18
"phone",6.5,4.86,4.1385,4.11,14
"phonograph",4.423076923,4.59,1.7559,9.18,16
"photocopier",6.12,4.72,0.4771,10.22,9
"photocopy",4.260869565,4.5,1.2041,11,16
"photograph",5.875,4.89,2.7634,6.68,19
"physician",5.12,4.65,2.4969,8.68,21
"physiologist",4.75,4.25,0.7782,15.32,13
"piano",6.166666667,4.9,3.1035,5.5,17
"piccolo",4.956521739,4.71,1.8195,NA,16
"pickaxe",5.333333333,4.93,0.9542,NA,14
"pickle",5.730769231,4.64,2.3729,6.05,28
"picnicker",4.458333333,4.32,0.301,8.42,15
"picture",5.32,4.52,3.8489,4.05,17
"picture frame",NA,4.61,NA,NA,22
"pie",5.869565217,4.92,3.1664,3.67,19
"piercing",5,4.15,1.8513,NA,17
"pig",4.56,5,3.3004,3.84,17
"piglet",4.68,4.93,2.0374,5.68,13
"pigtail",4.958333333,4.67,0.9542,5.89,18
"pike",4.590909091,4.25,2.3711,12.06,15
"pilaf",4.7,4.2,1.0414,12.25,13
"pill",6.36,4.72,2.781,6.06,21
"pillar",5.041666667,4.77,1.9138,8.26,18
"pillow",6.391304348,5,2.7649,3.47,17
"pillowcase",5.92,4.93,1.5315,5.15,16
"pilot",4.52173913,4.67,3.1339,6.32,16
"pimento",4.769230769,4.64,0.699,NA,15
"pimple",5.72,4.77,1.9345,9.57,20
"pin",5.88,4.92,2.9222,4.53,16
"pinball",5.782608696,4.48,1.8976,6.95,15
"pincushion",5.260869565,4.69,1,8.56,20
"pine",4.347826087,4.37,2.5011,5.53,24
"pineapple",6.304347826,4.94,2.1173,6.25,18
"pinecone",5.821428571,4.85,1.1461,4.61,22
"pinewood",4.541666667,4.74,1.2041,NA,15
"pinkie",5.260869565,4.39,1.9345,3.21,17
"pinwheel",5.8,4.66,0.9031,7.63,20
"pipe",5.653846154,4.88,2.9956,8.17,15
"piss",4.769230769,4.73,3.0806,7.56,13
"pistachio",5.541666667,4.93,1.8921,8.74,21
"pistol",5.260869565,4.89,2.711,7.28,16
"pitcher",5.259259259,4.93,2.2201,6.42,17
"pitchfork",5.681818182,5,1.5563,6.89,16
"pizza",6.541666667,5,3.233,4.67,17
"placard",4.458333333,4.46,0.8451,12.27,10
"placenta",4.28,4.79,1.3979,12.06,17
"plaintiff",4.375,3.9,2.2742,12.33,20
"plane",5.458333333,4.92,3.6878,4.95,18
"plank",4.92,5,2.0212,7.84,17
"planner",4.916666667,3.61,1.9243,9.05,10
"plant",5.652173913,4.76,3.1489,3.95,16
"plantain",5.409090909,4.42,0.301,12.8,19
"planter",4.666666667,4.61,1.5185,7.68,16
"plaque",4.52,4.7,2.0294,7.39,15
"plaster",4.4,4.59,2.1303,9.16,15
"plastic",5.04,4.79,2.9814,5.11,16
"plastics",5,4.58,1.7243,NA,19
"plate",5.590909091,4.77,3.1169,3.84,19
"platform",4.579514825,4.48,2.4969,7.83,18
"platter",5.75,4.93,2.1761,8.68,19
"player",4.72,4.15,3.2849,6.89,16
"playground",4.695652174,4.77,2.4166,4.28,16
"playhouse",4.869565217,4.72,1.5315,5.17,19
"playroom",4.52,4.71,1.6232,6.11,17
"playsuit",5.36,3.96,0.301,8.64,20
"plaything",4.92,3.68,1.415,8.17,10
"playwright",4.28,3.56,1.8633,10.44,18
"plexiglas",5.041666667,4.8,1.2041,NA,13
"pliers",6.086956522,4.93,1.7782,7,19
"plow",5,4.46,1.9868,7.11,17
"plug",5.875,4.64,2.7259,6.05,14
"plum",5.62962963,4.85,2.243,5.5,19
"plumber",4.44,4.63,2.3617,8.56,20
"plywood",4.807692308,4.82,1.3802,9.38,24
"pocket",5.407407407,4.68,3.2605,4.74,17
"pocketbook",5.884615385,5,1.8865,9.35,18
"pocketknife",5.692307692,4.93,1.2553,5.94,21
"podiatrist",4.791666667,4.63,1.0414,15.5,17
"poet",4.565217391,4.36,2.673,8.61,16
"poinsettia",5.347826087,4.92,0.6021,8.89,19
"poker",4.590909091,4.2,2.9138,9.1,11
"pole",5.32,4.66,2.8082,5.63,19
"police",4.739130435,4.79,4.0808,5.05,19
"policeman",5.428571429,4.93,2.7774,4.44,16
"policewoman",4.904761905,4.89,1.3802,6.37,21
"politician",4.409090909,4.33,2.2253,9.11,15
"polyester",5.086956522,4.12,1.8062,10.16,17
"pomegranate",5.391304348,4.86,1.1461,11.17,24
"pompom",5.16,4.68,0.9031,8.5,17
"poncho",5.458333333,4.97,1.6532,8.84,20
"pond",4.5,4.9,2.5105,5.16,15
"pony",5.375,4.9,2.617,5.39,13
"pooch",5.045454545,4.32,1.8261,7.67,16
"poodle",5.652173913,4.89,2.1644,6.53,16
"pool",6.041666667,4.77,3.3797,5.15,21
"poop",5.88,4.83,2.4564,4,11
"popcorn",6,5,2.6684,4.17,20
"porch",4.44,4.92,2.692,5.4,18
"pork",4.916666667,4.79,2.7308,5.63,18
"porridge",4.80952381,4.89,1.6335,6.35,19
"portfolio",4.8,4,2.0212,13.84,19
"portrait",4.272727273,4.9,2.444,7.61,21
"postage",4.32,4.37,1.6902,8.33,19
"postcard",5.76,4.93,2.3263,6.74,14
"poster",5.583333333,4.66,2.4857,8.12,21
"postman",4.913043478,4.74,2.1106,5.22,24
"postmaster",5.2,4.59,1.2553,11.32,17
"pot",6.16,4.81,3.0607,5.95,19
"potato",5.6,4.85,2.7612,4.84,18
"potboiler",4.84,4.16,0.301,12.92,15
"potpourri",5.333333333,4.59,1.3979,10.15,13
"pottery",5.458333333,4.72,1.9777,7.83,16
"potty",5.037037037,4.12,1.9395,2.28,17
"pouch",5.178571429,4.5,1.9445,6.56,15
"poultry",4.826086957,4.72,1.716,8.39,15
"powder",5.416666667,4.76,2.9133,5.06,22
"powderpuff",4.923076923,4.35,0.301,10.56,21
"powerboat",5.782608696,4.76,0.699,8.47,19
"practitioner",4.5,3.89,1.6435,13.61,13
"prankster",4.642857143,3.59,1.0792,8.58,13
"preschooler",4.409090909,4.33,0.4771,NA,16
"present",4.32,3.39,3.6593,4.83,14
"pretzel",6.04,4.74,2.0128,5,19
"priest",4.56,4.77,3.1261,7.1,17
"primate",4.375,4.5,1.5563,9.32,7
"primates",4.956521739,4.5,1.5315,NA,13
"primrose",4.368421053,4.08,1.3222,12.53,17
"printout",5.2,4.53,1.5563,11.56,16
"prisoner",4.307692308,4.11,3.0722,8,21
"privates",4.681818182,3.78,1.7076,NA,14
"prize",4.916666667,4.45,3.058,5.11,20
"produce",5.565217391,3.31,2.752,7.75,16
"programmer",4.695652174,3.86,1.7559,13.28,13
"projector",5.086956522,4.64,1.7993,7.16,16
"proofreader",4.36,3.82,0.301,9.83,17
"prop",5.125,4.46,2.2765,10.83,17
"propeller",4.36,4.9,1.8976,7,22
"proprietor",4.884615385,4.24,1.7853,12.21,13
"props",5.260869565,4.26,2.1847,NA,14
"prosecutor",4.64,4.24,2.5647,11.47,22
"prosthesis",4.689655172,4.19,1,13.22,12
"prostitute",5,4.28,2.5866,11.78,12
"protester",4.8,3.96,1.0414,11.06,14
"protractor",5.434782609,4,0.6021,9.75,17
"prune",5.074074074,4.7,1.8808,7.85,15
"pub",4.666666667,4.71,2.281,12.05,18
"publication",4.48,4.41,1.959,10.89,11
"publisher",4.44,4.24,2.3636,11.15,18
"puck",4.608695652,4.5,2.1703,7.79,19
"pudding",5.958333333,4.9,2.4983,4.79,19
"puddle",5,4.67,2,5.37,16
"pug",5.965517241,4.62,1.7243,9.17,14
"puke",4.5,4.59,2.5051,6.94,15
"pulley",5.208333333,4.74,1.3617,9.9,13
"pullover",4.56,4.32,1.1461,8.05,20
"pulp",5.208333333,4.3,1.9731,9.63,17
"pumice",4.857142857,3.85,0.9031,12.18,17
"pump",4.347826087,4.31,2.8102,6.06,20
"pumpernickel",5.130434783,4.77,1.699,NA,12
"pumpkin",5.708333333,4.9,2.7435,4.78,18
"punchbowl",5.25,4.85,1,8.44,18
"punter",4.464285714,4.07,0.7782,9.71,12
"pup",5.44,4.61,2.2175,5.11,17
"pupil",4.8,4.55,2.2068,8.06,17
"puppet",5.739130435,4.64,2.4472,5,17
"puppy",6.25,4.78,2.7672,3.28,18
"purse",6.291666667,4.9,3.0039,5.53,21
"pushcart",5.272727273,4.25,1.2553,9.39,15
"putty",5,4.48,1.9731,7.72,17
"puzzle",5.44,4.75,2.574,5.11,18
"quadriceps",4.5,4.36,0.699,13.42,17
"quarter",5.333333333,4.43,3.1232,5.79,18
"quarterback",4.346153846,4.61,2.3874,7.63,15
"quarters",5.909090909,4.57,2.9165,6.32,16
"questionnaire",4.461538462,4.24,1.6128,10.84,17
"quiche",5.727272727,4.53,1.6435,13.13,11
"quill",4.565217391,5,2.1461,9.04,13
"quilt",5.826086957,5,1.6021,6.55,15
"rabbit",5,4.93,3.029,3.94,16
"racehorse",5.208333333,4.83,1.7782,6.67,16
"rack",4.68,4.48,2.5999,6.26,18
"racket",5.24,4.26,2.5798,8.2,15
"radiator",5.217391304,4.78,2.017,8.53,16
"radio",5.291666667,4.74,3.5952,5.17,20
"radiologist",4.913043478,4.52,1.3222,12.83,16
"radish",5.846153846,4.87,1.5051,5.25,25
"raft",5.36,5,2.382,7.35,17
"rag",5.666666667,4.67,2.3892,5.22,21
"rail",5.517241379,4.9,2.3692,7.89,19
"railroad",4.333333333,5,2.8028,6.06,15
"rain",4.958333333,4.97,3.3971,3.6,17
"raincoat",5.954545455,5,1.9294,5.5,21
"raindrop",5.208333333,4.89,1.1139,6.11,21
"rainfall",4.88,4.93,1.2553,5.44,12
"rainwater",5.407407407,4.64,1.0792,6.21,16
"raisin",5.64,4.97,1.9243,5.05,17
"rake",6.136363636,4.84,2.1847,5.32,18
"ramp",4.666666667,4.69,2.1703,7.28,18
"rancher",4.68,4.83,1.6812,9.72,15
"raspberry",5.884615385,4.93,1.9868,5.33,14
"rat",4.608695652,4.85,3.2212,5.11,14
"rattle",4.409090909,4.07,2.238,4.5,15
"rawhide",4.541666667,4.35,1.7559,9.59,9
"razor",6.12,4.9,2.5465,7.11,16
"receipt",5.28,4.86,2.5798,8.53,21
"receipts",5.04,4.52,2.248,NA,19
"receptacle",4.863636364,4.58,1.3617,10.24,7
"receptionist",4.68,4.36,1.9912,9.95,13
"record",4.75,4.15,3.6401,6.3,17
"recorder",5.8,4.43,2.4031,8.37,19
"recruiter",4.347826087,4,1.5563,NA,17
"rectum",5.041666667,4.92,1.415,9.84,16
"reefer",4.52173913,4.54,1.699,13.76,13
"refrigerator",5.851851852,5,2.6314,4.11,15
"reindeer",4.5,4.7,2.238,3.58,14
"remote",4.357142857,3.44,2.8537,7.05,20
"repairer",4.583333333,4.29,0.301,9,18
"reptile",5,4.47,1.8633,6.05,15
"residence",4.333333333,4.34,2.6253,9.11,19
"respirator",4.923076923,4.56,1.5798,10.11,17
"restaurant",5.275862069,4.89,3.3755,5.95,16
"retriever",4.96,4.15,1.5911,8.74,15
"revolver",5.555555556,4.69,2.1523,9.26,19
"rhinestone",5.291666667,4.82,1.5185,11.06,15
"rhubarb",5.260869565,4.86,1.7482,10.53,18
"rib",5.92,4.9,2.48,6.3,17
"ribbon",6.375,4.89,2.4133,5.25,19
"rice",6.291666667,4.86,2.8865,3.72,18
"rickshaw",4.304347826,4.62,1.4914,11.94,9
"rifle",5.958333333,4.85,2.8716,7.85,17
"rind",5.130434783,4.48,1.1761,8.95,19
"ring",6.130434783,4.81,3.675,4.53,18
"rink",4.333333333,4.56,2.0414,8.69,18
"river",4.64,4.89,3.4518,4.9,14
"riverbank",4.64,4.68,1.5441,6.44,15
"riverboat",5.52,4.9,1.3222,7.9,10
"roach",4.708333333,4.96,2.1335,7.15,25
"road",5.896551724,4.75,3.7566,4.55,18
"roadster",4.96,4.35,1.2788,12.07,14
"roadway",4.565217391,4.67,1.0792,6.89,15
"roast",4.821428571,4.4,2.699,8.5,22
"robber",4.464285714,4.31,2.3802,5.74,14
"robe",5.909090909,5,2.6375,6.38,15
"robot",4.861185984,4.65,2.7938,5.35,19
"rock",5.48,4.91,3.643,3.22,15
"rocker",5.04,4.31,1.8129,7.06,20
"rod",4.454545455,4.43,2.7388,7.42,15
"rodent",5.041666667,4.7,1.9685,6.95,16
"roll",4.44,4.16,3.5089,4.47,20
"rook",4.772727273,4.38,1.8573,11.59,9
"roommate",5.16,4.52,2.7649,9.21,22
"roosters",4.6,4.93,1.2304,NA,16
"root",4.583333333,4.34,2.7284,5.94,19
"rope",6.2,4.93,3.0641,5.44,16
"rosary",5.791666667,4.63,1.7924,8.21,19
"rose",5.76,4.9,3.4322,6.11,16
"rosebush",5.333333333,4.69,0.7782,4.89,14
"rosemary",5.379310345,4.68,2.4031,NA,12
"rosewater",5.25,4.58,0.4771,10.69,14
"rotisserie",4.791666667,4.23,1,11.26,19
"rowboat",5.375,4.81,1.7404,6.05,14
"rubber",5.304347826,4.86,2.8543,7.62,16
"rubbish",4.666666667,3.64,2.4564,10.63,13
"ruby",4.76,4.77,2.7839,6.83,19
"rucksack",5.041666667,4.14,0.9542,14.3,13
"rug",6.173913043,4.79,2.7259,4.61,19
"ruler",5.25,4.66,2.2122,5.94,17
"rum",5.64,4.93,2.5832,11.56,16
"runner",4.608695652,4.86,2.4048,5,19
"rupee",4.826086957,4.68,0.4771,11.6,11
"rye",4.407407407,4.74,2.3284,9.26,13
"sack",5.083333333,4.84,2.8195,5.83,18
"sackcloth",4.913043478,4.65,0.9542,11.46,16
"saddle",4.954545455,4.85,2.6021,6.42,19
"saddlebag",5.409090909,4.88,1.1461,11.37,18
"saffron",4.666666667,4.44,1.5051,14.89,14
"sage",4.375,4.54,1.9542,11.39,18
"sailboat",5.266216216,4.89,1.9191,4.65,16
"sailcloth",4.454545455,4.39,0.4771,10.69,12
"salad",6.111111111,4.97,2.939,5.61,21
"salamander",4.714285714,4.7,0.9542,6.89,15
"salesgirl",4.769230769,4.46,1.3424,7.89,15
"saleslady",4.28,4.65,0.9542,8.83,18
"salesman",4.84,4.81,2.7267,8.29,24
"saleswoman",4.608695652,4.8,1.2041,7.8,19
"salmon",4.454545455,4.81,2.525,8,19
"saloon",4.301480485,4.68,2.42,9,14
"saloonkeeper",4.541666667,4.68,0.301,10.31,9
