"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","n.unique","n.unique.affordance","total.affordance"
"housekeeper",40,4.458333333,4.36,2.4757,7.61,11,36,34,96
"housemaid",28,4.84,4.52,1.1139,9,9,28,28,63
"housewife",36,5.2,4.43,2.2577,8.28,9,26,23,78
"hubcap",47,4.833333333,5,0.9031,8.39,6,30,25,69
"hug",30,4.652173913,4.14,2.9943,2.58,3,25,24,55
"human",51,5.666666667,4.93,3.8037,4.83,5,25,21,83
"hurdle",38,4.36,3.97,1.5798,8.75,6,34,30,76
"husband",43,6.041666667,4.11,3.9972,5.53,7,27,24,81
"husk",28,4.304347826,4.86,1.3424,8.63,4,26,20,44
"husky",31,4.892857143,3.59,1.9138,10.21,5,29,23,57
"hut",38,5.130434783,4.65,2.8293,8.1,3,37,32,77
"hutch",38,4.708333333,4.31,2.2672,10.57,5,28,24,69
"hypnotist",34,4.44,4.07,1.6232,10.3,9,29,23,51
"ice",41,5.458333333,4.89,3.6083,3.86,3,31,25,84
"iceboat",43,4.37037037,4.78,0.4771,13.31,7,25,24,73
"icebox",28,5.181818182,4.71,2.0969,7.11,6,27,25,59
"icepick",29,5.416666667,4.68,0.301,9,7,27,23,48
"icing",30,4.76,4.66,1.8573,5.53,5,33,28,67
"igloo",35,4.851851852,4.73,1.2041,5.42,5,25,21,61
"iguana",31,5.166666667,4.83,1.6128,7.61,6,28,24,56
"illustrator",27,4.48,3.76,1.1139,8.41,11,31,29,62
"incubator",35,4.291666667,4.65,1.716,10,9,36,30,64
"infant",48,6.038461538,4.93,2.3345,6.42,6,28,24,72
"ingredients",55,4.958333333,4.16,2.0414,6.69,11,48,44,119
"ink",38,5.56,4.56,2.5832,5.16,3,37,35,98
"insect",45,5.125,4.89,2.2095,4.75,6,34,28,84
"insole",21,4.454545455,4.11,0.4771,12.21,6,29,20,36
"inspector",43,4.391304348,4.62,3.0512,8.84,9,33,30,68
"instructor",31,4.583333333,4.26,2.382,8.19,10,32,30,82
"instrument",28,5.739130435,4.27,2.617,6.94,10,26,22,55
"insulin",20,4.625,4.37,2.0334,11.32,7,26,20,37
"intercom",40,4.695652174,4.67,2.0334,8.79,8,35,33,76
"intern",53,4.791666667,3.86,2.3674,14,6,31,26,67
"interviewer",38,4.75,4.47,1.3617,10.11,11,33,27,70
"inventor",27,4.391304348,3.82,2.0719,8,8,30,23,52
"investigator",38,4.888888889,4.37,2.4942,9.32,12,30,26,59
"iron",36,5.538461538,4.59,2.9619,7.32,4,27,21,52
"item",39,5.739130435,4.41,2.7987,5.68,4,25,19,66
"jacket",33,6.333333333,4.86,3.2317,3.95,6,27,27,87
"jaguar",32,4.826086957,4.9,2.0864,7.78,6,31,25,53
"jam",36,5.173913043,4.71,2.8395,6.56,3,29,23,82
"jar",26,6.208333333,5,2.6284,5.44,3,28,24,61
"jasmine",37,4.32,4.55,2.4456,10.26,7,27,21,66
"javelin",32,5.833333333,4.9,1.3979,9.44,7,26,23,55
"jaw",40,5.5,4.87,2.5623,5.33,3,38,36,122
"jawbreaker",28,5.28,4.22,0.8451,6.89,10,26,22,60
"jeans",43,6.44,5,2.5289,5.26,5,58,50,130
"jeep",25,5.409090909,4.8,2.7202,6.32,4,26,25,52
"jelly",26,5.48,4.93,2.5611,4.11,5,26,22,52
"jersey",29,5.8,4.56,2.9657,8.96,6,29,21,43
"jet",43,5.041666667,4.77,2.8585,5.39,3,40,40,100
"jewel",31,5.44,4.96,2.5682,6.22,5,29,26,55
"jeweler",32,4.695652174,4.61,1.7324,9.5,7,40,34,74
"jewelry",24,6.576923077,4.82,2.752,6.67,7,27,23,61
"jockstrap",15,5.739130435,4.97,1.3617,9.95,9,27,22,36
"jogger",28,5,4.68,1.3979,8.26,6,32,27,51
"joint",35,4.375,4.37,3.148,9.05,5,28,24,53
"journal",50,6,4.63,2.6571,8.5,7,33,30,98
"journalist",46,4.5,4.04,2.4942,10.11,10,27,23,65
"joystick",19,6.12,4.74,1.2041,9.29,8,33,23,43
"juice",36,5.739130435,4.89,3.1374,4.4,5,33,30,81
"jukebox",36,5.8,4.93,2.0682,7.42,7,26,26,69
"jumper",37,4.296296296,4.03,2.0719,7,6,26,23,65
"junk",30,4.962962963,3.88,2.8949,6.62,4,25,23,56
"jurist",40,4.380952381,3.96,1.1461,12.71,6,30,21,52
"juror",37,4.782608696,4.29,2.1206,10.16,5,30,24,61
"kale",32,5.652173913,4.81,1.4624,12.12,4,26,23,58
"kaleidoscope",34,5.84,4.79,1.2041,7.41,12,35,30,72
"kazoo",23,5.6,4.85,1.5051,6.25,5,30,24,52
"kebab",30,5.916666667,4.85,1.5051,10.44,5,27,25,78
"keepsake",40,4.75,3.89,1.5682,9.47,8,34,26,72
"keg",37,4.962962963,4.75,2.2455,13.41,3,25,23,69
"kelp",26,4.826086957,4.9,1.8062,10.22,4,28,23,52
"kerchief",29,5.666666667,4.85,1.301,6.94,8,25,24,55
"kernel",26,4.5,4.21,1.5563,8.74,6,27,23,52
"ketchup",30,6.304347826,5,2.4928,4.3,7,39,33,71
"kettle",24,5.44,4.75,2.1584,8.06,6,28,25,48
"kettledrum",25,4.916666667,4.9,0.4771,11.56,10,31,24,48
"key",34,6.28,4.89,3.6465,3.58,3,29,27,68
"keyboard",26,6.08,4.93,1.9685,9.32,8,29,28,65
"keyhole",24,5.44,4.63,1.7324,7.86,7,31,30,62
"kid",67,5.68,4.56,4.238,4.28,3,53,43,152
"kidney",27,4.68,4.96,2.6946,9.33,6,25,21,36
"kiln",19,4.304347826,4.82,1.301,10.69,4,29,26,48
"kilt",29,5.04,4.71,1.5051,8.21,4,29,28,47
"kindle",27,4.4,3.74,1,12.36,6,25,24,57
"kindling",37,4.583333333,3.76,1.4771,9.5,8,28,22,58
"kiss",40,4.571428571,4.48,3.791,3.61,4,54,44,80
"kit",32,4.739130435,4.47,2.9547,6.55,3,37,28,55
"kitchen",28,5.625,4.97,3.4735,3.68,7,30,28,94
"kitchenette",22,4.782608696,4.56,1.2304,12.95,11,26,21,51
"kite",28,5.8,5,2.0719,4.58,4,25,25,61
"kitten",33,6.4,4.86,2.3838,3.64,6,26,24,86
"kitty",30,6.043478261,4.97,3.1345,3.54,5,35,27,70
"kiwi",40,6.08,4.86,1.6128,7.56,4,33,30,116
"kleenex",31,6.043478261,4.92,1.8976,NA,7,26,25,74
"knapsack",23,5.84,4.9,1.5315,11.17,8,26,23,47
"knee",27,5.818181818,5,2.8751,4.42,4,28,25,67
"kneecap",50,5.714285714,4.7,1.4771,6.37,7,36,35,112
"knickers",39,5.5,4.54,1.8195,9.94,8,30,26,77
"knitting",25,4.304347826,4.14,2.0645,7.24,8,29,21,43
"knob",19,5.888888889,4.75,2.1004,4.68,4,27,24,46
"knot",30,5.76,4.87,2.2765,6.05,4,27,24,50
"knuckle",48,5.76,4.93,1.8261,5.94,7,53,50,130
"kumquat",34,5.619047619,4.88,1.3979,12.47,7,25,23,60
"label",45,5.375,4.46,2.5465,6.1,5,37,29,58
"laboratory",24,4.739130435,4.46,2.5211,8.72,10,28,21,47
"labrador",59,5.074074074,4.35,1.4472,NA,8,37,33,127
"lace",20,4.869565217,4.85,2.2788,6.44,4,28,22,39
"lad",35,4.36,4.28,2.8675,7.35,3,27,20,44
"ladder",32,6.117567568,5,2.6749,4.4,6,33,32,81
"ladle",32,4.84,4.9,1.5911,9.83,5,27,22,61
"lady",46,5.32,4.33,4.0442,3.68,4,28,22,72
"ladybug",29,4.875,4.92,1.3222,4.84,7,26,20,47
"lager",27,4.695652174,4.64,1.415,14,5,24,21,50
"lake",34,5.035714286,4.88,3.2641,4.61,4,35,32,103
"lamb",34,4.444444444,4.97,2.7348,4.15,4,34,27,74
"lambskin",24,4.416666667,4.72,0.699,10.78,8,32,23,41
"lamp",22,6.083333333,4.97,2.8182,4,4,25,23,51
"lamplight",47,4.291666667,4.8,0.8451,7,9,38,35,97
"lamplighter",13,4.263157895,4.24,0.6021,10.69,11,25,20,32
"lampshade",30,5.296296296,4.82,1.1761,5.63,9,31,26,46
"lance",29,4.571428571,4.07,2.7443,11.79,5,29,19,44
"land",56,5.56,4.57,3.6527,5.22,4,35,29,96
"landlady",35,4.76,4.22,2.0294,9.18,8,25,22,55
"landscape",44,4.384615385,4.34,2.1072,9.89,9,30,28,70
"lantern",34,5.653846154,5,2.017,8.55,7,30,27,60
"lanyard",32,5.416666667,4.46,0.699,12.14,7,29,22,69
"lapdog",45,4.739130435,4.31,1.3424,10.1,6,32,27,82
"larvae",19,4.375,4.62,1.4771,NA,6,30,19,30
"laryngoscope",28,4.411764706,4.48,1.1461,17.67,12,26,23,42
"lasso",33,5.555555556,4.74,1.6628,8.56,5,32,28,62
"latch",36,5.541666667,4.79,1.9956,8,5,35,33,73
"latex",21,5.086956522,4.77,1.8751,13.48,5,36,21,41
"latrine",31,6.333333333,4.62,2.1761,12.27,7,25,19,47
"laundry",25,6.208333333,4.93,2.9881,6.05,7,25,24,64
"lavatory",34,5.620689655,4.81,1.699,10.58,8,25,22,50
"lawn",38,5.695652174,4.93,2.8,5.45,4,27,24,82
"lawyer",39,4.625,4.7,3.6081,7.78,6,33,30,70
"laxative",34,5.206896552,4.07,1.6435,11.68,8,33,32,62
"leaf",80,5.584345479,5,2.4249,4.6,4,61,53,153
"leaflet",46,5.956521739,4.31,0.4771,10.37,7,27,25,83
"leash",24,5.708333333,4.89,2.3424,5.79,5,26,20,49
"leather",37,5.576923077,4.82,2.8414,7.25,7,31,25,86
"ledge",37,4.541666667,4.72,2.2553,11.05,5,35,30,76
"ledger",32,4.583333333,4.36,1.7993,12.78,6,26,22,55
"leech",26,4.291666667,4.33,1.9542,7.84,5,27,27,47
"leftovers",38,5.625,4.48,2.1072,5.62,9,33,33,104
"leg",44,5.875,4.83,3.4598,3,3,28,28,108
"leggings",27,6.130434783,4.86,1.1461,10,8,26,22,54
"lei",32,5.058823529,4.83,1.5798,NA,3,32,26,61
"lemon",49,6.08,5,2.7882,4.74,5,28,27,108
"lemonade",22,5.409090909,4.83,2.4502,5.06,8,28,28,61
"lens",27,5.115384615,4.64,2.3784,9.53,4,28,23,46
"leopard",41,5.260869565,5,2.4425,6.84,7,28,25,74
"leotard",44,5.363636364,4.74,1.3222,NA,7,29,26,89
"letter",53,5.259259259,4.7,3.6247,4.74,6,34,31,118
"letterbox",27,4.56,4.6,0.4771,9.83,9,26,23,47
"lettuce",28,6.083333333,4.97,2.2405,4.28,7,29,22,65
"lever",26,5.038461538,4.77,2.2148,7.89,5,25,24,60
"library",39,4.391304348,4.8,3.0686,4.95,7,26,24,94
"lice",28,5,4.73,2.0414,NA,4,26,22,35
"licence",44,4.76,4.57,2.4014,9.37,7,27,25,84
"lid",47,5.428571429,4.96,2.4014,5.95,3,40,37,103
"lifeboat",31,5.333333333,4.48,1.8573,7.72,8,29,27,62
"lifebuoy",30,4.260869565,4.65,0.6021,10.12,8,26,22,52
"lifeguard",25,4.96,4.47,1.9345,5.63,9,26,24,51
"lighthouse",30,4.791666667,4.96,2.1987,6.11,10,25,22,49
"lilac",43,5,4.69,1.6021,8.89,5,34,28,69
"lily",51,4.884615385,4.69,3.137,6.67,4,53,41,129
"limb",52,5.703703704,4.64,2.3784,7.16,4,28,24,76
"lime",47,5.52,4.96,2.2279,6.61,4,55,45,134
"limeade",20,4.75,4.44,0.7782,9.35,7,25,22,54
"limestone",39,4.565217391,4.59,1.4472,12,9,33,28,75
"limousine",29,5.565217391,4.63,2.1614,8.17,9,25,22,74
"linen",35,5.875,4.8,2.1761,7.68,5,33,22,60
"lingerie",39,5.72,4.87,2.1614,13.44,8,37,34,77
"linoleum",36,4.62962963,4.85,1.4472,10.5,8,27,21,53
"lint",25,5.04,4.96,1.8388,7.47,4,37,28,51
"lip",31,5.52173913,4.96,2.7396,3.79,3,33,31,87
"lipstick",33,5.928571429,4.9,2.6532,5.42,8,35,29,75
"liqueur",24,5.666666667,4.64,1.4624,12.4,7,34,28,75
"liquid",47,5.260869565,4.72,2.5977,5.83,6,32,31,139
"liquor",25,5.961538462,4.73,2.946,8.4,6,27,25,59
"litter",41,5.034482759,4.47,2.3032,7.61,6,34,27,81
"livestock",24,5.041666667,4.7,2.0128,7.89,9,27,20,44
"lizard",23,4.925925926,4.68,2.3945,5.42,6,28,23,54
"llama",42,4.75,4.78,1.8633,8.61,5,35,32,91
"loaf",20,4.458333333,4.79,2.3598,6.84,4,32,20,47
"lobbyist",47,4.4,3.71,1.3617,13.28,8,34,24,61
"lobe",32,4.47826087,4.44,1.9823,10.17,4,29,20,44
"lobster",37,4.92,4.86,2.574,7.44,7,28,24,72
"lock",27,5.173913043,4.65,3.4603,5.74,4,27,22,56
"locker",19,5.538461538,4.67,2.9117,8.22,6,32,29,65
"locket",32,5.333333333,4.82,1.9445,8.35,6,39,32,71
"locksmith",28,4.8,4.54,1.7243,9.58,9,35,33,64
"lodge",48,4.833333333,4,2.534,8.26,5,33,30,83
"lodging",30,4.620689655,4.37,1.6435,NA,7,33,30,62
"log",31,5.692307692,4.96,2.786,6.74,3,26,24,68
"logbook",41,5.565217391,4.54,1.2041,12.22,7,38,32,84
"loin",36,4.391304348,4.38,1.2788,11.06,4,31,25,59
"loincloth",28,4.833333333,4.88,1,9.67,9,31,22,50
"lollipop",32,6.48,4.96,1.9638,3.89,8,25,23,76
"longbow",28,5.285714286,4.96,0.9031,13.39,7,33,28,57
"loo",31,4.952380952,4.2,2.0864,12.69,3,27,22,62
"lotion",49,6.28,4.79,2.2227,5.83,6,38,35,89
"loudspeaker",29,4.625,4.82,1.6812,10,11,26,22,44
"lounge",41,4.714285714,3.96,2.6042,9.53,6,30,27,92
"lounger",28,4.692307692,4.04,0.6021,9.82,7,29,29,81
"lovebird",30,4.4,4.62,0.7782,8.44,8,27,20,46
"lozenge",35,5.4,4.59,0.9542,9,7,25,23,57
"lubricant",22,5.76,4.52,1.5563,11.11,9,28,24,38
"lubrication",32,4.333333333,3.62,1.1461,12.95,11,28,25,47
"luggage",34,5.304347826,4.83,2.7543,7.63,7,33,32,97
"lumber",52,5.217391304,4.56,2.1038,7.33,6,35,31,104
"lump",38,4.5,4.56,2.2601,5.89,4,27,21,45
"lunch",33,6.043478261,4.31,3.7252,3.61,5,25,24,79
"lunchroom",43,4.565217391,4.63,1.2553,5.37,9,25,24,84
"lyre",27,4.45,4.23,0.699,13.47,4,29,26,49
"macaroni",28,5.62962963,4.97,2.2227,5.15,8,26,23,78
"macaroon",51,4.346153846,4.96,0.7782,NA,8,37,33,115
"mace",42,5.12,4.81,2.2529,12.47,4,26,26,77
"machete",59,5.791666667,4.82,1.7324,9.6,7,60,56,163
"machine",47,5.791666667,4.25,3.5544,6.53,7,28,24,78
"machinery",36,5.416666667,4.75,2.2742,10.28,9,35,29,75
"magazine",44,6.166666667,5,3.2289,5.89,8,35,32,102
"maggot",30,4.44,4.97,1.9138,9.5,6,26,21,36
"magician",36,4.5,4.21,2.5922,5.37,8,34,30,67
"magnet",23,5.615384615,4.7,2.1492,6.1,6,26,23,40
"magnolia",23,5.416666667,4.71,1.5682,9.89,8,27,20,58
"maid",34,4.458333333,4.64,3.0663,6.95,4,37,35,81
"maiden",33,4.44,4.24,2.4518,9.58,6,26,21,46
"maidservant",29,4.333333333,4.39,0.8451,12,11,30,27,71
"mail",50,6.125,4.69,3.2742,4.65,4,33,30,107
"mailbag",32,5.041666667,4.89,0.7782,6.25,7,37,31,76
"maize",32,5.416666667,4.58,1,9.59,5,33,26,54
"makeup",56,6,4.45,2.8982,7.94,6,37,36,111
"male",55,5.5,4.45,3.2385,5.63,4,32,28,79
"mall",32,4.36,4.83,2.9845,6.78,4,37,33,92
"mallard",37,4.772727273,4.27,1.301,9.94,7,24,23,71
"mallet",33,5.56,4.93,1.5563,10.94,6,28,24,59
"mammal",61,5.291666667,4.59,1.7993,7.39,6,33,26,84
"man",74,5.346153846,4.79,4.9737,3.11,3,34,25,114
"mandolin",40,5.304347826,4.76,1.3979,12.39,8,29,28,76
"mango",36,6.24,5,1.9294,8.22,5,33,28,91
"manhole",38,4.72,4.7,1.5911,6.83,7,33,26,58
"manicure",48,4.730769231,4.39,2.0086,10.56,8,35,28,63
"manicurist",45,4.916666667,4.11,1.5051,11.72,10,27,20,63
"mannequin",33,4.48,4.53,1.7993,9.24,9,35,30,62
"mansion",69,4.52173913,4.89,2.5185,7.2,7,59,49,177
"mantel",25,5,4.64,1.5911,7.72,6,26,22,46
"mantelpiece",27,4.285714286,3.76,1.2788,11,11,26,24,53
"mantle",29,4.807692308,4.57,2.0453,9.17,6,30,25,59
"manure",36,4.708333333,4.64,2.0294,10.1,6,25,24,67
"manuscript",34,5.083333333,4.57,2.1399,12.12,10,26,21,55
"map",36,5.481481481,4.93,3.2106,5.6,3,26,23,63
"maple",39,4.32,4.46,2.2201,5.94,5,34,22,59
"marble",38,5.48,4.85,2.4265,7.05,6,34,28,78
"marbles",28,5.75,4.96,2.1931,NA,7,27,22,64
"margarine",15,5.56,4.58,1.5185,8.5,9,26,25,57
"marigold",39,4.75,4.59,0.9542,8.47,8,26,24,84
"marijuana",43,6.04,4.89,2.4346,10.89,9,38,33,80
"marionette",35,4.333333333,4.63,0.9031,9.89,10,27,24,57
"marketeer",31,4.5,3.71,0.4771,NA,9,28,24,55
"marksman",29,4.291666667,4.12,1.8751,10.83,8,26,22,41
"marmalade",24,6.041666667,4.83,1.7243,10.39,9,35,28,66
"marshmallow",44,6.173913043,4.85,1.8921,3.8,11,38,37,124
"mascara",23,5.703703704,4.93,1.8129,9.21,7,26,21,49
"mascot",34,4.32,4.2,1.9294,9.5,6,28,20,43
"mask",26,5.92,4.96,3.0048,4.8,4,25,24,67
"masseuse",46,5.086956522,4.56,1.8633,11.22,8,56,53,119
"mat",40,5.814814815,4.83,2.2529,4.62,3,33,29,84
"match",26,4.565217391,4.14,3.4017,5.72,5,26,21,49
"matchbox",19,5.875,4.78,1.301,6.52,8,29,26,43
"matchstick",30,6.103448276,4.96,0.301,6.74,10,35,32,86
"mathematician",37,4.272727273,4.38,1.699,9.17,13,26,24,66
"mattress",34,6.72,5,2.5289,5.1,8,25,22,65
"mayonnaise",50,5.523809524,4.9,2.0645,6.1,10,68,55,161
"mayor",39,4.28,4.37,3.203,8.28,5,31,27,66
"me",88,5.708333333,4.33,5.6733,3.28,2,28,24,171
"meadow",43,4.391304348,4.86,2.0682,6.89,6,30,23,65
"meal",44,5.958333333,4.62,3.1682,4.74,4,27,25,91
"meat",30,5.52173913,4.9,3.3477,4.42,4,25,23,78
"medal",38,5.608695652,4.89,2.7716,6.83,5,31,25,69
"medallion",36,5.541666667,4.68,1.8388,10.26,9,25,22,63
"medic",51,5.217391304,4.43,2.4654,11.17,5,60,51,112
"medicine",75,5.692307692,4.79,3.2418,4.89,8,60,54,184
"megaphone",20,6.2,4.76,1.2041,10.2,9,27,24,50
"melon",43,5.681818182,4.78,2.3404,4.21,5,32,31,101
"memo",38,5.04,4.25,2.5289,11.39,4,37,28,73
"memorabilia",40,4.434782609,4.15,1.415,11.16,11,28,26,86
"men",36,5.72,4.75,4.279,NA,3,26,19,57
"mentor",46,4.347826087,3.7,2.2529,11.37,6,34,32,86
"menu",35,5.869565217,4.67,2.7067,5.89,4,35,29,75
"merchandise",33,5.833333333,4.52,2.3909,9.26,11,27,24,79
"merchant",23,4.5,4.31,2.1673,9.8,8,31,26,55
"merchantman",20,4.5,4.19,0.4771,11.12,11,32,29,59
"metal",32,5.130434783,4.87,2.9969,5.61,5,30,21,56
"metalworker",30,4.8,4.18,0.4771,11,11,25,20,39
"meteorologist",34,4.875,4.56,1.0792,8.89,13,27,23,44
"mice",35,5,4.84,2.5263,NA,4,27,24,62
"microphone",39,6.043478261,4.88,2.3674,6.25,10,28,27,73
"microscope",32,5.721024259,5,2.1139,9.16,10,28,27,66
"microwave",26,5.28,4.34,2.301,7.67,9,27,26,55
"midget",39,4.821428571,4.4,2.3729,9.2,6,26,20,52
"midwife",37,5,4.56,1.4771,10.89,7,32,27,67
"milk",21,5.956521739,4.92,3.3365,3.37,4,27,25,83
"milkshake",35,6.4,4.97,1.6335,4.89,9,30,29,107
"mincemeat",27,5.083333333,4.36,1.3617,12.06,9,28,25,59
"minister",38,4.84,4.22,2.9741,7.42,8,37,30,74
"mink",31,4.904761905,4.58,2.2788,10.32,4,33,21,48
"minnow",13,4.416666667,4.84,1.1761,9.06,6,26,22,38
"mint",36,5.76,4.54,2.444,5.94,4,31,27,81
"mirror",33,6.086956522,4.97,3.0913,4.89,6,26,23,68
"mistletoe",18,4.592592593,4.85,1.9956,9.65,9,34,32,70
"mistress",47,5,4.22,2.7832,11.72,8,33,27,62
"mitt",27,6.08,4.76,1.8513,6.83,4,36,27,62
"mitten",23,6.041666667,4.89,1.3802,4.72,6,27,24,46
"mixer",35,5,4.33,1.7482,7.05,5,37,34,82
"moccasin",22,5.458333333,4.78,0.4771,11.22,8,25,23,53
"model",30,5.086956522,4.53,3.2138,5.83,5,27,21,39
"molasses",33,5,4.84,1.7243,8.95,8,35,34,82
"mommy",37,5.434782609,4.07,3.5585,2.5,5,25,23,69
"money",39,6.291666667,4.54,4.5143,5.11,5,29,28,89
"moneybags",41,5,3.85,1.1461,9.32,9,39,35,91
"mongoose",41,4.5,4.89,1.5315,9.94,8,32,23,63
"monk",44,5.173913043,4.35,2.5763,10.29,4,39,33,69
"monument",45,4.52,4.58,2.0719,8.45,8,26,20,68
"moonshine",36,5.260869565,4.46,1.699,9.22,9,28,25,70
"mop",24,6.192307692,4.97,2.3263,5.11,3,26,23,45
"morsel",23,4.833333333,4.19,1.5185,8.78,6,33,20,37
"mortician",27,4.833333333,4.3,1.5051,10.2,9,30,20,43
"mosquito",41,4.4,4.88,1.9731,6.1,8,31,30,73
"moss",37,4.565217391,4.9,2.1644,8.31,4,25,21,54
"motel",38,4.48,4.93,2.9675,7.11,5,31,28,78
"moth",33,4.84,4.69,2.0682,5.74,4,25,20,42
"mothball",25,5.12,4.62,0.7782,8.32,8,30,22,47
"mother",46,5.52,4.6,4.3888,2.63,6,24,23,76
"motor",37,4.92,4.84,2.8274,7.42,5,30,24,75
"motorbike",36,6.347826087,4.79,1.5911,7.95,9,26,25,61
"motorboat",40,5.304347826,4.93,1.4771,6.53,9,34,31,79
"motorcycle",42,5.555555556,4.97,2.659,5.05,10,32,30,88
"motorcyclist",50,4.52,4.79,1.1461,7.17,12,25,21,55
"motorist",35,5.12,4.72,1.415,7.74,8,36,31,59
"mountain",38,4.307692308,4.96,3.2567,6.15,8,25,25,83
"mountainside",48,4.708333333,4.48,1.1761,7.53,12,26,24,88
"mouse",25,5.24,4.83,2.9894,4.94,5,27,23,50
"mousetrap",17,4.916666667,5,1.4914,6.78,9,25,24,50
"mousse",31,5.260869565,4.83,1.7782,10.32,6,28,21,45
"moustache",39,5.347826087,4.96,2.2878,5.4,9,28,25,66
"mouth",36,6.304347826,4.74,3.7264,3.58,5,25,25,103
"mouthpiece",34,5.304347826,4.66,1.6812,10.6,10,26,22,55
"mouthwash",27,6.230769231,4.67,1.699,7.32,9,27,24,61
"mucus",45,4.88,4.76,1.4914,9.56,5,57,39,82
"mud",31,5.56,4.86,2.8791,4.05,3,25,20,51
"muffin",30,5.875,4.78,2.4742,5.11,6,30,30,72
"muffler",34,4.75,4.68,1.716,9.5,7,28,22,46
"mug",39,6.13900135,4.8,2.5441,5.15,3,27,24,78
"mulberry",49,4.703703704,4.48,1.5051,8.88,8,29,22,91
"mulch",27,4.625,4.59,1.3617,9.22,5,30,25,41
"mule",38,4.318181818,5,2.5551,5.65,4,25,23,58
"mullet",50,4.518518519,4.78,1.4771,11.67,6,60,43,98
"mum",42,4.416666667,4.11,3.0449,7.47,3,29,27,65
"munitions",34,4.80952381,3.82,1.8129,NA,9,29,21,55
"muscle",56,5.12,4.5,2.842,8.45,6,39,37,127
"museum",44,4.333333333,4.6,2.9745,8.55,6,28,25,65
"mushroom",37,5.333333333,4.83,2.0414,6.44,8,26,24,87
"musician",43,4.47826087,4.42,2.49,7.11,8,31,29,89
"musket",30,5.217391304,4.67,1.7076,10.17,6,30,25,59
"mustache",30,5.620689655,4.9,2.4031,NA,8,26,21,63
"mustard",36,5.8,4.93,2.5185,4.95,7,38,32,81
"mutt",51,4.958333333,3.89,2.3075,7.22,4,34,26,89
"mutton",22,5,4.25,1.6128,13.15,6,27,21,49
"muzzle",30,4.391304348,4.59,1.9138,8.44,6,33,28,47
"myself",67,5.038461538,2.97,4.2423,3.81,6,29,23,101
"nail",32,5.541666667,4.93,2.9786,5.42,4,25,23,71
"nameplate",31,4.84,4.52,0.9031,9.89,9,26,20,50
"nanny",26,4.6,4.21,2.7259,6.67,5,31,25,63
"napkin",35,6.333333333,4.93,2.2672,4.79,6,25,24,69
"narcotics",49,4.956521739,4.59,2.42,12.39,9,37,29,86
"neck",46,6.12,5,3.4823,3,4,36,33,83
"neckband",26,5.217391304,4.77,0.301,9.78,8,31,22,35
"neckerchief",29,5.347826087,4.5,0.4771,9.65,11,26,24,64
"necklace",34,5.821428571,4.96,2.6972,5,8,37,27,87
"necktie",31,6.043478261,4.96,1.7924,6.63,7,33,23,58
"neckwear",32,5.652173913,4.56,0.4771,11.58,8,34,27,61
"nectar",45,4.608695652,4.63,1.6812,8.95,6,36,29,90
"needle",54,5.739130435,4.93,2.7846,5.32,6,60,56,132
"needlepoint",35,4.576923077,4.48,1.4624,9,11,24,24,67
"needlework",31,4.692307692,4.41,1.1761,9.88,10,25,22,54
"negligee",28,4.75,4.48,1.5798,15.92,8,25,21,40
"nephew",40,5.16,4.48,2.9279,6.37,6,29,23,69
"net",23,5.208333333,4.53,2.8998,7,3,25,25,50
"nettle",39,4.529411765,3.88,0.9542,14.33,6,25,20,55
"neurologist",33,4.384615385,4.1,1.716,14.22,11,34,26,58
"newlyweds",32,4.772727273,3.79,1.8751,NA,9,32,22,52
"newsagent",39,4.333333333,4.41,0.301,11.11,9,27,22,56
"newsboy",32,4.869565217,4.42,1.1761,7.53,7,25,21,40
"newscaster",21,4.347826087,4.5,1.4771,9.56,10,29,23,43
"newsletter",42,5.826086957,4.66,1.6435,9.42,10,36,31,83
"newsman",36,4.285714286,4.26,1.3222,5.72,7,35,33,66
"newspaper",79,5.76,4.82,3.0824,5.78,9,39,39,141
"newspaperman",36,4.48,4.5,1.8692,7.5,12,36,31,68
"newsprint",39,4.260869565,4.62,0.9542,10,9,25,22,71
"newsstand",31,5.458333333,4.71,1.7324,9.74,9,29,26,65
"newt",32,4.391304348,4.17,1.8388,7.56,4,32,25,54
"nickel",28,5.814814815,4.79,2.6355,5.75,6,35,29,65
"nightcaps",36,4.708333333,4.07,0.301,NA,9,33,32,78
"nightclub",28,4.409090909,4.96,2.3766,10.74,9,28,26,90
"nightdress",30,5.791666667,4.62,0.699,9.12,10,26,21,66
"nightgown",31,5.92,4.9,2.0043,5.78,9,25,22,68
"nightie",18,5.62962963,4.3,1.5563,7.82,7,25,20,47
"nightlight",35,4.821428571,4.93,0.699,5.21,10,29,25,59
"nightshirt",30,6.291666667,5,1.0792,6.1,10,27,26,71
"nipple",33,5.625,4.83,2.1614,9.05,6,26,20,42
"noodle",55,6.24,4.71,2.1732,3.44,6,55,52,164
"noose",27,4.708333333,4.52,2.0492,8.28,5,25,22,52
"nose",30,6,4.89,3.5512,2.95,4,25,23,73
"nostril",26,5.208333333,4.89,1.5563,7.37,7,35,33,82
"note",47,5.434782609,4.61,3.4365,6.4,4,34,33,91
"notepaper",44,5.392857143,4.78,0.4771,6.39,9,26,25,82
"novel",34,5.4,4.21,2.711,9.5,5,28,25,77
"nugget",35,4.826086957,4.45,1.7853,7.32,6,26,22,72
